t,YA,YB,YC,YD,T
4.214046822742475e-06,0.9996320493477084,0.0003679501098634197,5.424294918878507e-10,7.489107093339274e-18,396.14668704747805
4.3143812709030106e-06,0.999631909475616,0.0003680899818570812,5.425282352416424e-10,7.489455972577026e-18,395.72707052340513
4.4147157190635455e-06,0.9996317731194123,0.00036822633796483747,5.426242267100624e-10,7.489793985086523e-18,395.31800167218324
4.51505016722408e-06,0.9996316401134299,0.0003683593438538879,5.427176031445117e-10,7.490121705741882e-18,394.9189834914614
4.615384615384616e-06,0.9996315103032822,0.00036848915391068606,5.428084917344941e-10,7.490439667065038e-18,394.5295528211798
4.715719063545151e-06,0.9996313835448642,0.0003686159122402321,5.428970108870708e-10,7.490748363207895e-18,394.1492773456863
4.816053511705686e-06,0.9996312597034678,0.000368739753550484,5.429832710029776e-10,7.491048253454044e-18,393.7777529405
4.916387959866221e-06,0.9996311386529916,0.0003688608039424799,5.430673751682065e-10,7.491339765329113e-18,393.4146013019392
5.016722408026756e-06,0.9996310202752303,0.0003689791816217086,5.431494197751905e-10,7.49162329738641e-18,393.0594678130079
5.1170568561872916e-06,0.9996309044592319,0.0003690949975400764,5.432294950820966e-10,7.491899221707903e-18,392.7120196174902
5.2173913043478265e-06,0.9996307911007187,0.000369208355974954,5.433076857161063e-10,7.492167886148136e-18,392.37194388280915
5.317725752508361e-06,0.9996306801015714,0.00036931935504593504,5.433840711213386e-10,7.492429616324587e-18,392.03894624974606
5.418060200668897e-06,0.99963057136934,0.0003694280872026817,5.434587259811747e-10,7.492684717491337e-18,391.71274936890444
5.518394648829432e-06,0.9996304648168329,0.0003695346396367561,5.435317205732737e-10,7.49293347610588e-18,391.393091665211
5.618729096989967e-06,0.999630360361726,0.000369639094672259,5.436031211060449e-10,7.493176161312628e-18,391.0797261659993
5.719063545150502e-06,0.9996302579262125,0.0003697415301158962,5.436729900193636e-10,7.493413026264392e-18,390.7724194508086
5.819397993311037e-06,0.9996301574366699,0.0003698420195900481,5.437413862703584e-10,7.493644309376454e-18,390.47095065217366
