# x  u_exact  u_implicit  u_explicit1  u_explicit2
   2.75000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   2.80000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   2.85000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   2.90000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   2.95000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.00000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.05000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.10000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.15000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.20000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.25000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.30000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.35000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.40000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.45000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.50000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.55000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.60000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.65000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.70000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.75000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.80000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.85000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.90000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   3.95000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   4.00000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   4.05000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
   4.10000000E-01   1.00000000E+00   1.00000000E+00   1.00000000E+00   1.00000000E+00
