       x    u_numerical        u_exact          error
      1.7750001      0.0320170      0.0000000      0.0320170
      1.8000000      0.0415755      0.0000000      0.0415755
      1.8250000      0.0533779      0.0000000      0.0533779
      1.8500001      0.0677153      0.0000000      0.0677153
      1.8750000      0.0849196      0.0000000      0.0849196
      1.9000001      0.1052522      0.0000000      0.1052522
      1.9250000      0.1289544      0.0061558      0.1227987
      1.9500000      0.1561848      0.0244717      0.1317131
      1.9750001      0.1870079      0.0544968      0.1325111
      2.0000000      0.2214002      0.0954913      0.1259089
      2.0250001      0.2591764      0.1464466      0.1127298
      2.0500000      0.3000683      0.2061070      0.0939613
      2.0750000      0.3436051      0.2730046      0.0706005
      2.1000001      0.3892516      0.3454916      0.0437600
      2.1250000      0.4362717      0.4217824      0.0144893
      2.1500001      0.4838956      0.5000000     -0.0161044
      2.1750000      0.5311977      0.5782168     -0.0470191
      2.2000000      0.5772603      0.6545083     -0.0772480
      2.2250001      0.6210852      0.7269954     -0.1059102
      2.2500000      0.6617296      0.7938924     -0.1321628
      2.2750001      0.6982558      0.8535534     -0.1552975
      2.3000000      0.7298272      0.9045082     -0.1746810
      2.3250000      0.7556889      0.9455031     -0.1898142
      2.3500001      0.7752259      0.9755283     -0.2003024
      2.3750000      0.7879589      0.9938441     -0.2058852
      2.4000001      0.7935760      1.0000000     -0.2064240
      2.4250000      0.7919279      0.9938442     -0.2019163
      2.4500000      0.7830443      0.9755283     -0.1924840
      2.4750001      0.7671185      0.9455031     -0.1783846
      2.5000000      0.7445178      0.9045087     -0.1599908
      2.5250001      0.7157499      0.8535534     -0.1378035
      2.5500000      0.6814759      0.7938930     -0.1124170
      2.5750000      0.6424528      0.7269954     -0.0845426
      2.6000001      0.5995567      0.6545083     -0.0549515
      2.6250000      0.5536993      0.5782175     -0.0245183
      2.6500001      0.5058659      0.5000000      0.0058660
      2.6750000      0.4570080      0.4217831      0.0352249
      2.7000000      0.4081023      0.3454916      0.0626106
      2.7250001      0.3600201      0.2730046      0.0870155
      2.7500000      0.3136120      0.2061076      0.1075044
      2.7750001      0.2695643      0.1464466      0.1231177
      2.8000000      0.2285046      0.0954918      0.1330128
      2.8250000      0.1908625      0.0544968      0.1363657
      2.8500001      0.1569829      0.0244717      0.1325112
      2.8750000      0.1270155      0.0061559      0.1208596
      2.9000001      0.1010133      0.0000000      0.1010133
      2.9250000      0.0788810      0.0000000      0.0788810
      2.9500000      0.0604961      0.0000000      0.0604961
      2.9750001      0.0464537      0.0000000      0.0464537
      3.0000000      0.0464537      0.0000000      0.0464537
