       x       pressure        density       velocity
  0.1462500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1487500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1512500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1537500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1562500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1587500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1612500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1637500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1662500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1687500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1712500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1737500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1762500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1787500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1812500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1837500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1862500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1887500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1912500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1937500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1962500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1987500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2012500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2037500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2062500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2087500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2112500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2137500E+01  0.1000000E+06  0.1000000E+01  0.4814928E-13
  0.2162500E+01  0.1000000E+06  0.1000000E+01  0.5701912E-13
  0.2187500E+01  0.1000000E+06  0.1000000E+01  0.2045570E-12
  0.2212500E+01  0.1000000E+06  0.1000000E+01  0.6409812E-12
  0.2237500E+01  0.1000000E+06  0.1000000E+01  0.1901107E-11
  0.2262500E+01  0.1000000E+06  0.1000000E+01  0.5450076E-11
  0.2287500E+01  0.1000000E+06  0.1000000E+01  0.1516275E-10
  0.2312500E+01  0.1000000E+06  0.1000000E+01  0.4135825E-10
  0.2337500E+01  0.1000000E+06  0.1000000E+01  0.1107531E-09
  0.2362500E+01  0.1000000E+06  0.1000000E+01  0.2913574E-09
  0.2387500E+01  0.1000000E+06  0.1000000E+01  0.7531421E-09
  0.2412500E+01  0.1000000E+06  0.1000000E+01  0.1912548E-08
  0.2437500E+01  0.1000000E+06  0.1000000E+01  0.4771341E-08
  0.2462500E+01  0.1000000E+06  0.1000000E+01  0.1169401E-07
  0.2487500E+01  0.1000000E+06  0.1000000E+01  0.2815543E-07
  0.2512500E+01  0.1000000E+06  0.1000000E+01  0.6659083E-07
  0.2537500E+01  0.1000000E+06  0.1000000E+01  0.1547040E-06
  0.2562500E+01  0.1000000E+06  0.1000000E+01  0.3530219E-06
  0.2587500E+01  0.1000000E+06  0.1000000E+01  0.7912128E-06
  0.2612500E+01  0.1000000E+06  0.1000000E+01  0.1741618E-05
  0.2637500E+01  0.1000000E+06  0.1000000E+01  0.3764921E-05
  0.2662500E+01  0.1000000E+06  0.1000000E+01  0.7992400E-05
  0.2687500E+01  0.9999999E+05  0.1000000E+01  0.1666058E-04
  0.2712500E+01  0.9999999E+05  0.9999999E+00  0.3410101E-04
  0.2737500E+01  0.9999997E+05  0.9999998E+00  0.6852983E-04
  0.2762500E+01  0.9999995E+05  0.9999996E+00  0.1352065E-03
  0.2787500E+01  0.9999990E+05  0.9999993E+00  0.2618725E-03
  0.2812500E+01  0.9999981E+05  0.9999987E+00  0.4978800E-03
  0.2837500E+01  0.9999965E+05  0.9999975E+00  0.9291126E-03
  0.2862500E+01  0.9999936E+05  0.9999955E+00  0.1701714E-02
  0.2887500E+01  0.9999886E+05  0.9999918E+00  0.3058747E-02
  0.2912500E+01  0.9999798E+05  0.9999856E+00  0.5395146E-02
  0.2937500E+01  0.9999651E+05  0.9999750E+00  0.9337446E-02
  0.2962500E+01  0.9999407E+05  0.9999576E+00  0.1585554E-01
  0.2987500E+01  0.9999012E+05  0.9999294E+00  0.2641344E-01
  0.3012500E+01  0.9998385E+05  0.9998846E+00  0.4316430E-01
  0.3037500E+01  0.9997411E+05  0.9998151E+00  0.6919077E-01
  0.3062500E+01  0.9995930E+05  0.9997093E+00  0.1087848E+00
  0.3087500E+01  0.9993725E+05  0.9995517E+00  0.1677513E+00
  0.3112500E+01  0.9990511E+05  0.9993221E+00  0.2537081E+00
  0.3137500E+01  0.9985927E+05  0.9989946E+00  0.3763410E+00
  0.3162500E+01  0.9979530E+05  0.9985373E+00  0.5475666E+00
  0.3187500E+01  0.9970793E+05  0.9979128E+00  0.7815478E+00
  0.3212500E+01  0.9959118E+05  0.9970779E+00  0.1094519E+01
  0.3237500E+01  0.9943845E+05  0.9959853E+00  0.1504393E+01
  0.3262500E+01  0.9924283E+05  0.9945851E+00  0.2030155E+01
  0.3287500E+01  0.9899738E+05  0.9928270E+00  0.2691082E+01
  0.3312500E+01  0.9869551E+05  0.9906629E+00  0.3505863E+01
  0.3337500E+01  0.9833131E+05  0.9880493E+00  0.4491702E+01
  0.3362500E+01  0.9789989E+05  0.9849495E+00  0.5663516E+01
  0.3387500E+01  0.9739764E+05  0.9813354E+00  0.7033303E+01
  0.3412500E+01  0.9682234E+05  0.9771887E+00  0.8609741E+01
  0.3437500E+01            NaN            NaN            NaN
  0.3462500E+01            NaN            NaN            NaN
  0.3487500E+01            NaN            NaN            NaN
  0.3512500E+01            NaN            NaN            NaN
  0.3537500E+01            NaN            NaN            NaN
  0.3562500E+01            NaN            NaN            NaN
  0.3587500E+01            NaN            NaN            NaN
  0.3612500E+01            NaN            NaN            NaN
  0.3637500E+01            NaN            NaN            NaN
  0.3662500E+01            NaN            NaN            NaN
  0.3687500E+01            NaN            NaN            NaN
  0.3712500E+01            NaN            NaN            NaN
  0.3737500E+01            NaN            NaN            NaN
  0.3762500E+01            NaN            NaN            NaN
  0.3787500E+01            NaN            NaN            NaN
  0.3812500E+01            NaN            NaN            NaN
  0.3837500E+01            NaN            NaN            NaN
  0.3862500E+01            NaN            NaN            NaN
